0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	1716,73820%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	1716,73820%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	1716,73820%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	1716,73820%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	1716,73820%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	1716,73820%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	1716,73820%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	1716,73820%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	1716,73820%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	0,00000%	
